,Fout_hydrogen,Fout_methane,Fout_carbon monoxide,Fout_carbon dioxide,Fout_ethylene,Fout_ethane,Fout_propane,Fout_water,Fout_nonane,Fout_decane,Fout_undecane,Fout_dodecane,Fout_tridecane,Fout_tetradecane,Fout_pentadecane,Fout_hexadecane,Fout_heptadecane,Fout_octadecane,Fout_nonadecane,Fout_eicosane,Fout_heneicosane,Fout_docosane,Fout_tricosane,Fout_tetracosane,Fout_pentacosane,Fout_hexacosane,Fout_heptacosane,Fout_octacosane,Fout_nonacosane,Fout_triacontane,Fout_1-nonene,Fout_1-decene,Fout_1-undecene,Fout_1-dodecene,Fout_1-tridecene,Fout_1-tetradecene,Fout_1-pentadecene,Tin,Pin,Fin_hydrogen,Fin_carbon monoxide,W,index,Ta
0,hydrogen,methane,carbon monoxide,carbon dioxide,ethylene,ethane,propane,water,nonane,decane,undecane,dodecane,tridecane,tetradecane,pentadecane,hexadecane,heptadecane,octadecane,nonadecane,eicosane,heneicosane,docosane,tricosane,tetracosane,pentacosane,hexacosane,heptacosane,octacosane,nonacosane,triacontane,1-nonene,1-decene,1-undecene,1-dodecene,1-tridecene,1-tetradecene,1-pentadecene,Tin,Pin,hydrogen,carbon monoxide,W,component names,
1,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,K,Pa,mol/s,mol/s,g,unit,K
70,5.88302341235615e-05,8.7924326270584e-07,4.12332712316656e-05,1.6875048789677e-07,1.870213353317e-08,4.08460670129e-08,1.798405035132e-07,5.735733271906251e-06,8.167937891506353e-09,1.9618674786185403e-08,2.4099971852975917e-08,2.4540467019280912e-08,2.3474407495832004e-08,2.274420915836302e-08,2.1184485654967828e-08,2.0142980827208337e-08,1.833132214123368e-08,1.6760964015985992e-08,1.549066275900849e-08,1.4059710801129276e-08,1.2203776773496711e-08,1.094113835850736e-08,9.098107943485343e-09,7.353197808125822e-09,6.0309494746150595e-09,4.488325073976193e-09,3.0266096042247423e-09,2.2590353243849365e-09,1.387086692233233e-09,9.588668591632819e-10,5.802109699703701e-09,1.0801643311504233e-08,1.05128165325635e-08,7.762976608312977e-09,5.197341299319897e-09,3.549936060806014e-09,2.95645256374117e-09,516.15,2205787.642,7.838844753947387e-05,4.730650547936539e-05,5.12,,
76,8.54965583189314e-05,1.4882528590625e-07,3.81491770985112e-05,0.0,9.26360483069e-09,0.0,2.783725440575e-08,5.162335772715868e-06,9.295446923417003e-09,2.2326853191722018e-08,2.742675228323351e-08,2.7928053773621635e-08,2.6714834494894366e-08,2.5883838963382247e-08,2.4108809912770525e-08,2.2923534880624624e-08,2.0861793302455112e-08,1.907466161782566e-08,1.7629006904502836e-08,1.6000525132101303e-08,1.3888396406788429e-08,1.245146232062138e-08,1.0354018433481234e-08,8.368239432121135e-09,6.863466824030311e-09,5.107897250733513e-09,3.4444053453480337e-09,2.570874464873244e-09,1.5785613085084565e-09,1.091229648702933e-09,6.6030378136839894e-09,1.229271125973911e-08,1.1964014588759658e-08,8.834584443319392e-09,5.914786673506587e-09,4.0399722271468835e-09,3.3645637678554808e-09,484.15,2233366.67,0.00010416259394910077,4.331151287122707e-05,5.12,,
77,8.66699072872808e-05,1.4194094829178e-07,3.85641474310545e-05,0.0,4.66296437594e-09,0.0,0.0,5.128410511056967e-06,9.362156385848129e-09,2.248708350517218e-08,2.7623582399754e-08,2.812848151736922e-08,2.69065554807462e-08,2.6069596248333353e-08,2.4281828570440824e-08,2.3088047324351808e-08,2.101150950523931e-08,1.921155233788079e-08,1.7755522776572565e-08,1.6115354084272422e-08,1.3988067510927947e-08,1.2540821161001346e-08,1.0428324812656987e-08,8.428294721405337e-09,6.912723001384356e-09,5.14455445318512e-09,3.4691243750919637e-09,2.589324535638272e-09,1.58988997050532e-09,1.0990609389952262e-09,6.650425002981321e-09,1.2380930811387823e-08,1.2049875224435357e-08,8.89798649207205e-09,5.9572345775864225e-09,4.068965386672189e-09,3.3887098086126454e-09,484.15,2212682.399,0.00010507899331646632,4.3692557942111465e-05,5.12,,
78,8.71948458147871e-05,1.5879741373962e-07,3.87338758482988e-05,0.0,4.69505116707e-09,4.27256009453e-09,5.643476213617e-08,5.223363606778523e-06,9.175443898986752e-09,2.2038616388145936e-08,2.7072676438209216e-08,2.7567506190821465e-08,2.636994941696823e-08,2.5549681930905784e-08,2.3797568277077017e-08,2.2627594993175286e-08,2.0592470233649606e-08,1.8828410189251933e-08,1.7401418692373657e-08,1.579396041023868e-08,1.3709098995159705e-08,1.229071554326206e-08,1.0220349386983405e-08,8.26020653716896e-09,6.7748603499418596e-09,5.0419549540782745e-09,3.399938515274032e-09,2.5376848061341797e-09,1.5581822850112243e-09,1.0771420142652147e-09,6.517793444629154e-09,1.2134013938161136e-08,1.1809560698935172e-08,8.720531094242438e-09,5.838427538165559e-09,3.987816705215978e-09,3.321127682279654e-09,484.15,2198892.885,0.00010571554261094297,4.395723945507732e-05,5.12,,
79,8.69877081469614e-05,1.6054080105845e-07,3.88529405572443e-05,0.0,0.0,4.31946720033e-09,1.901811393423e-08,5.139990656428173e-06,9.33938558807641e-09,2.2432390033938774e-08,2.7556395847571848e-08,2.806006694086997e-08,2.684111289376787e-08,2.6006189327994092e-08,2.4222769889393704e-08,2.3031892178582037e-08,2.0960404950465414e-08,1.916482566988495e-08,1.7712337488716486e-08,1.6076158042917322e-08,1.395404549256154e-08,1.2510319160096928e-08,1.0402960861701653e-08,8.407795278034398e-09,6.895909757615606e-09,5.132041779368204e-09,3.460686711124978e-09,2.5830267359715736e-09,1.5860230127761811e-09,1.0963877840777876e-09,6.6342497249152775e-09,1.2350817698541522e-08,1.2020567310681125e-08,8.876344656298751e-09,5.942745289194491e-09,4.059068779080792e-09,3.3804677303372176e-09,484.15,2191998.128,0.0001058013799763781,4.399293121367247e-05,5.12,,
80,8.85411964769603e-05,1.3523340711233e-07,3.90627464336683e-05,0.0,9.40788422975e-09,8.56130195468e-09,1.884721059891e-08,5.203266128920073e-06,9.214962885093287e-09,2.213353754775834e-08,2.7189279486062464e-08,2.7686240489253302e-08,2.648352579279396e-08,2.5659725383448213e-08,2.3900065309423865e-08,2.272505290605712e-08,2.068116278673172e-08,1.8909504868579585e-08,1.747636726501044e-08,1.5861985598871605e-08,1.3768144606324377e-08,1.234365212291323e-08,1.0264368820797692e-08,8.295783561122595e-09,6.80403993133221e-09,5.0636708459712e-09,3.4145821798669817e-09,2.5486147111829655e-09,1.5648934354199373e-09,1.0817813059185825e-09,6.545865829073901e-09,1.2186275598034797e-08,1.1860424926358222e-08,8.758090753584153e-09,5.8635738677933004e-09,4.004992383548689e-09,3.335431905615217e-09,484.15,2191998.128,0.00010645813056707605,4.426601256258837e-05,5.12,,
83,7.56087391529038e-05,7.1905303463757e-07,2.45532583833855e-05,3.211404126694e-08,1.138914325973e-08,3.800233976718e-08,1.5210900156723e-07,5.713162512575974e-06,8.212320252848881e-09,1.972527734915634e-08,2.4230924569969e-08,2.4673813267652445e-08,2.360196106560941e-08,2.2867795028226964e-08,2.1299596409932317e-08,2.0252432327141803e-08,1.8430929578749153e-08,1.6852038552948392e-08,1.557483482313749e-08,1.4136107460045603e-08,1.2270088789785193e-08,1.10005895397695e-08,9.14754459685424e-09,7.3931530926147855e-09,6.063720019932164e-09,4.5127134162850985e-09,3.0430553807330513e-09,2.2713103102362176e-09,1.3946237454779844e-09,9.64077081864291e-10,5.833636791689674e-09,1.0860336514478118e-08,1.056994032908026e-08,7.805158519769724e-09,5.225582243684413e-09,3.569225451480421e-09,2.9725171259010324e-09,506.15,2178208.614,9.426610923934758e-05,3.0330648978495353e-05,5.12,,
84,7.57018272934998e-05,7.6165216389488e-07,2.44392354051061e-05,7.533616672809e-08,7.63363813687e-09,4.168028400847e-08,1.7586707000317e-07,5.75907867108487e-06,8.122032305129332e-09,1.9508413569466743e-08,2.3964524772663147e-08,2.440254426038511e-08,2.334247622318241e-08,2.2616381759089822e-08,2.1065424240813568e-08,2.0029772896573163e-08,1.8228296126205518e-08,1.6666763754963183e-08,1.5403601867169384e-08,1.3980692170332836e-08,1.2135188895351336e-08,1.0879646782708076e-08,9.046974599229452e-09,7.311871238113671e-09,5.997054227648223e-09,4.463099711454053e-09,3.0095994003689145e-09,2.2463390548258677e-09,1.3792909635182848e-09,9.534778189903447e-10,5.769500582013706e-09,1.0740935728190498e-08,1.045373221852835e-08,7.719346992372057e-09,5.16813111149576e-09,3.529984648511157e-09,2.9398366577025704e-09,506.15,2185103.371,9.432310103960053e-05,3.034898640964715e-05,5.12,,
85,7.64088495236283e-05,7.6393950534319e-07,2.43813250713415e-05,4.354756782953e-08,7.72200366345e-09,4.216276695809e-08,1.701679658359e-07,5.827860947421398e-06,7.986781213322495e-09,1.9183552237282265e-08,2.3565458625377852e-08,2.3996184050269057e-08,2.2953768658861746e-08,2.2239765388861233e-08,2.071463498993298e-08,1.9696229695668424e-08,1.7924751784072002e-08,1.6389222628548088e-08,1.5147095380612224e-08,1.3747880503349114e-08,1.1933109232809e-08,1.0698474872704133e-08,8.896321025576248e-09,7.190111248624176e-09,5.89718905826174e-09,4.388778521123929e-09,2.959482435856962e-09,2.2089321844368317e-09,1.3563224992562872e-09,9.37600153008814e-10,5.6734247202611334e-09,1.0562073686069909e-08,1.0279652795682501e-08,7.590801565620332e-09,5.082069477021682e-09,3.4712020360028327e-09,2.8908814082341672e-09,506.15,2191998.128,9.415929579593202e-05,3.0296281154421958e-05,5.12,,
86,7.640491591182e-05,7.7711268622985e-07,2.42337104225074e-05,4.319102886896e-08,1.148817143336e-08,4.878716014664e-08,1.8411790035946e-07,5.887691432216654e-06,7.869132615124048e-09,1.8900970560270974e-08,2.3218329650747298e-08,2.3642710311572304e-08,2.2615650131014513e-08,2.1912164425171706e-08,2.0409499829263633e-08,1.9406096067164276e-08,1.766071275957318e-08,1.614780258506491e-08,1.4923972386415934e-08,1.3545368524340496e-08,1.1757329586930245e-08,1.0540881902768332e-08,8.765274528892885e-09,7.084197929265873e-09,5.81032101874935e-09,4.32412999413631e-09,2.9158880327211013e-09,2.1763936976455653e-09,1.3363433065777218e-09,9.237889140721399e-10,5.589852822209168e-09,1.0406489962158447e-08,1.0128229248564237e-08,7.478985911786201e-09,5.007208486849398e-09,3.420069791023075e-09,2.8482975266737985e-09,506.15,2191998.128,9.3884250883972e-05,3.0207783912461973e-05,5.12,,
98,7.73855340631153e-05,1.25138626720557e-06,4.06708562087991e-05,1.6539474031541e-07,1.80482221631e-08,9.033269516342e-08,3.1637167961422e-07,8.505924833005384e-06,8.36715514372941e-09,2.2886275116361454e-08,2.7508266860187428e-08,2.865317867295304e-08,2.9611361524040662e-08,2.8291643475459636e-08,2.6440177481300625e-08,2.6032137780444645e-08,2.42280062015007e-08,2.1047444857983947e-08,1.9605601346945862e-08,1.718117462557457e-08,1.4979633958140308e-08,1.3144138446610936e-08,1.0767730935930828e-08,9.766534920693733e-09,7.73476317846635e-09,5.1562117676801e-09,3.4944000663079087e-09,2.509037441909318e-09,1.2429084811478734e-09,9.115869045909001e-10,5.809017565395312e-09,1.200387175143752e-08,1.1242259607200965e-08,8.302036588356773e-09,6.0133692443485665e-09,4.6338649136383565e-09,3.0725995189140105e-09,517.15,1661101.839,9.790407595917393e-05,4.9507570522435303e-05,5.12,,
99,8.00747515344569e-05,1.24846672929587e-06,4.20759811781892e-05,1.8214440350017e-07,1.845626775774e-08,7.977840367882e-08,2.8655019186453e-07,8.437812183223467e-06,8.47997963209132e-09,2.3194878487060096e-08,2.7879194144420878e-08,2.9039544190047705e-08,3.001064738121198e-08,2.867313397554059e-08,2.6796702422607762e-08,2.638316062818597e-08,2.4554701757727128e-08,2.1331253052840617e-08,1.9869967419165098e-08,1.7412849215478624e-08,1.518162250838758e-08,1.332137678744753e-08,1.0912925295638089e-08,9.898228941728084e-09,7.839060359912185e-09,5.225739216924321e-09,3.5415192953458064e-09,2.5428698330627725e-09,1.2596681217972142e-09,9.238789350769086e-10,5.887347585986868e-09,1.2165734495160263e-08,1.1393852611803585e-08,8.413983004355187e-09,6.0944547861689935e-09,4.696348927504319e-09,3.1140311002230197e-09,517.15,1667996.596,0.00010061434178063912,5.087808216841301e-05,5.12,,
100,7.95386573081128e-05,1.21909631359845e-06,4.18556324779148e-05,1.6831100898306e-07,1.836645153787e-08,7.103330758008e-08,2.9435428552074e-07,8.427902279452558e-06,8.496394788838978e-09,2.323977807203871e-08,2.7933161413416103e-08,2.90957576115937e-08,3.0068740619902915e-08,2.8728638116950784e-08,2.6848574253634673e-08,2.6434231943920203e-08,2.4602233626402824e-08,2.137254511693488e-08,1.990843079336026e-08,1.7446556212629154e-08,1.521101039892164e-08,1.334716369939164e-08,1.093405003733269e-08,9.917389480626999e-09,7.85423485444462e-09,5.235854963906021e-09,3.5483748064295786e-09,2.547792204189781e-09,1.2621065297376154e-09,9.256673376666691e-10,5.898744044191343e-09,1.218928436760721e-08,1.1415908310602045e-08,8.43027040784917e-09,6.106252153019722e-09,4.705439904974943e-09,3.1200590992094563e-09,517.15,1667996.596,0.00010010427944048825,5.062015677533348e-05,5.12,,
101,7.90693134711992e-05,1.22014669945742e-06,4.16576638995118e-05,1.4253971555217e-07,2.297784532558e-08,7.109451060478e-08,2.7619491017373e-07,8.418706946077736e-06,8.511626302906531e-09,2.3281440096394738e-08,2.7983237281074526e-08,2.914791766916885e-08,3.012264494722387e-08,2.878014003823565e-08,2.6896705778428597e-08,2.648162067593247e-08,2.4646338129181577e-08,2.1410859746810084e-08,1.9944120700812566e-08,1.7477832709659644e-08,1.5238279225833638e-08,1.3371091202373994e-08,1.0953651543747824e-08,9.935168416415856e-09,7.868315166347319e-09,5.2452412978182755e-09,3.5547359892752812e-09,2.552359639409515e-09,1.2643691121434727e-09,9.273267844586266e-10,5.9093187414744794e-09,1.2211136136614284e-08,1.143637364588228e-08,8.445383380527782e-09,6.117198850752143e-09,4.7138753621173994e-09,3.1256524391191817e-09,517.15,1667996.596,9.95926724190436e-05,5.0361450276693875e-05,5.12,,
102,7.96168323390441e-05,1.18380890250419e-06,4.20123459866186e-05,1.2985803272348e-07,1.842149638932e-08,6.705524396114e-08,2.9523647486948e-07,8.417217129096764e-06,8.514094094706869e-09,2.328819012804854e-08,2.7991350513616885e-08,2.9156368579683605e-08,3.0131378462249055e-08,2.8788484318291117e-08,2.6904503990851693e-08,2.64892985419522e-08,2.4653483888285544e-08,2.141706743758985e-08,1.994990313718593e-08,1.748290009052361e-08,1.5242697288749762e-08,1.3374967907959566e-08,1.0956827356512794e-08,9.938048938454828e-09,7.870596441741582e-09,5.246762060479242e-09,3.555766620557073e-09,2.553099649833551e-09,1.264735693054865e-09,9.27595646054928e-10,5.911032041355938e-09,1.2214676534249041e-08,1.1439689415172958e-08,8.447831966393218e-09,6.11897242170412e-09,4.715242064854628e-09,3.126558665401383e-09,517.15,1674891.353,0.00010024097298451261,5.068927918116232e-05,5.12,,
107,0.00012409252272952,5.1536336408545e-07,4.98871283956408e-05,0.0,1.324990018542e-08,0.0,5.308816586397e-08,7.023626984310279e-06,1.0822491955826025e-08,2.9602239242721188e-08,3.558055177645476e-08,3.7061437295001896e-08,3.830079834663457e-08,3.659380980400782e-08,3.4199032190342085e-08,3.367125347651233e-08,3.133770053468535e-08,2.7223805314155365e-08,2.535885366311971e-08,2.2222980329972038e-08,1.937539883369882e-08,1.7001278231504825e-08,1.3927515318506335e-08,1.2632518914713232e-08,1.0004524936041814e-08,6.669299112981527e-09,4.519829734052113e-09,3.2453130204332272e-09,1.6076392522889517e-09,1.179091551728303e-09,7.513670392481965e-09,1.5526400937606555e-08,1.4541294152460266e-08,1.0738264398240514e-08,7.777988952809912e-09,5.993669878324107e-09,3.974252061268721e-09,484.15,1674891.353,0.00015325301548659747,5.6910755379951076e-05,5.12,,
108,0.000125109115216212,1.6537028229207e-07,5.01973178162323e-05,0.0,6.51918204955e-09,0.0,2.612030378347e-08,6.82556790405091e-06,1.1150564853698018e-08,3.0499601185931643e-08,3.665914021771501e-08,3.8184917283002903e-08,3.946184831143745e-08,3.770311413757349e-08,3.523574126260554e-08,3.469196347085658e-08,3.22876712317321e-08,2.8049067438347557e-08,2.612758166420571e-08,2.289664750255713e-08,1.9962744453242135e-08,1.751665478615638e-08,1.4349713859225898e-08,1.3015460949199263e-08,1.0307801990993371e-08,6.87147217032375e-09,4.656843801125661e-09,3.343691402367906e-09,1.6563732102705306e-09,1.2148345195965903e-09,7.741439711172893e-09,1.5997068078770924e-08,1.498209877776087e-08,1.1063784022891278e-08,8.013770821327821e-09,6.175361918742886e-09,4.094727492984083e-09,484.15,1667996.596,0.0001535549674229004,5.702288572028321e-05,5.12,,
113,6.65417567598213e-05,5.2882159185624e-07,3.55134110093428e-05,4.301165203146e-08,1.14404598619e-08,3.123291985302e-08,1.4515464798448e-07,7.830045375511026e-06,9.486708622125593e-09,2.5948535642659528e-08,3.118896541530546e-08,3.24870702764155e-08,3.357346121322012e-08,3.207716045445732e-08,2.99779620879105e-08,2.9515325303748444e-08,2.7469794856253008e-08,2.3863663715807698e-08,2.222889669727431e-08,1.9480073532619426e-08,1.6983959324989266e-08,1.4902868345321197e-08,1.2208489523129962e-08,1.1073330116254893e-08,8.769700486580252e-09,5.846130231087556e-09,3.961962539088727e-09,2.8447550839588963e-09,1.4092138130670564e-09,1.03356029606793e-09,6.586283638473539e-09,1.3610030134148412e-08,1.2746511725402369e-08,9.412876985194978e-09,6.8179782588517134e-09,5.253891612482321e-09,3.483723660874807e-09,506.15,1667996.596,8.673061218998293e-05,4.342947968891675e-05,5.12,,
114,6.65624822586636e-05,5.7572184082515e-07,3.54273214533065e-05,6.471497007085e-08,1.912579970495e-08,3.4809473076e-08,1.6858828732135e-07,7.894290392155928e-06,9.380290634336668e-09,2.5657455663379812e-08,3.083910045445126e-08,3.2122643710186785e-08,3.319684796117108e-08,3.171733208768485e-08,2.9641681663320702e-08,2.9184234547947758e-08,2.7161650018035978e-08,2.3595970970614183e-08,2.197954209479662e-08,1.9261554095595e-08,1.6793440268481203e-08,1.4735694109791973e-08,1.2071539718857112e-08,1.0949114062401823e-08,8.671325600572179e-09,5.7805507513833575e-09,3.917518876075659e-09,2.8128437937690444e-09,1.3934058332582118e-09,1.0219662426035335e-09,6.512401422867298e-09,1.3457358424885123e-08,1.2603526609786863e-08,9.307287210282645e-09,6.741496988476924e-09,5.194955621536265e-09,3.4446446845122024e-09,506.15,1661101.839,8.677367266087026e-05,4.345104178560413e-05,5.12,,
115,6.64417000753009e-05,4.9948083237774e-07,3.53564936412777e-05,4.326322582712e-08,1.917895791779e-08,3.490622246201e-08,1.6137245851344e-07,7.861070126620182e-06,9.43531799671822e-09,2.580796934846856e-08,3.102001109169914e-08,3.2311083964865415e-08,3.3391589793156315e-08,3.190339467301417e-08,2.9815567912912534e-08,2.9355437287063285e-08,2.732098772053234e-08,2.3734391420039458e-08,2.2108480128273286e-08,1.937454766461837e-08,1.689195520360528e-08,1.4822137740520755e-08,1.2142354687871113e-08,1.1013344574094422e-08,8.722193979255934e-09,5.8144610504733406e-09,3.94050011826034e-09,2.829344708377793e-09,1.4015799347567943e-09,1.0279613773989957e-09,6.550604959094468e-09,1.3536302987224578e-08,1.2677462360082656e-08,9.361886314518783e-09,6.781044462242944e-09,5.225430658684469e-09,3.464851916752586e-09,506.15,1667996.596,8.648020381488683e-05,4.330409021955212e-05,5.12,,
121,9.13894643983152e-05,1.9810048327034e-07,5.99581748206383e-05,0.0,1.115637583249e-08,5.0762264867e-09,8.940014978947e-08,8.483100828461493e-06,8.40496172801705e-09,2.2989685639335358e-08,2.7632561628455942e-08,2.878264666966153e-08,2.9745159023441568e-08,2.8419477892930957e-08,2.6559646139566883e-08,2.6149762731133104e-08,2.4337479271241134e-08,2.114254671571144e-08,1.9694188304770906e-08,1.7258806928966157e-08,1.504731870691192e-08,1.320352959802787e-08,1.0816384405386452e-08,9.81066453456304e-09,7.769712330361875e-09,5.179509860215867e-09,3.510189343352761e-09,2.5203744057756424e-09,1.2485245027761512e-09,9.157058657613229e-10,5.835265329234026e-09,1.2058110663152793e-08,1.1293057211419133e-08,8.339548937613498e-09,6.0405403613272624e-09,4.65480280727432e-09,3.086482910664077e-09,495.15,1688680.867,9.842491799347539e-05,6.84412756490998e-05,5.12,,
122,9.32738799527068e-05,2.0659934476412e-07,6.17431548509807e-05,1.565802797177e-08,1.110614028629e-08,0.0,6.674819538748e-08,8.39703229235535e-06,8.547529057012847e-09,2.3379643164677515e-08,2.8101272924492994e-08,2.927086603221317e-08,3.0249704791733575e-08,2.8901537084365985e-08,2.7010158340778883e-08,2.6593322374483323e-08,2.475029845191931e-08,2.1501172550184927e-08,2.0028246675791458e-08,1.7551555674902132e-08,1.5302555566520926e-08,1.3427491587269655e-08,1.099985496527341e-08,9.977075790631478e-09,7.901504380088048e-09,5.267366165833166e-09,3.569730164018625e-09,2.56312570658205e-09,1.269702327174002e-09,9.31238326663816e-10,5.934244743881159e-09,1.2262643733690286e-08,1.1484613229748392e-08,8.481006716427893e-09,6.143001708906641e-09,4.733758884019217e-09,3.1388367034360004e-09,495.15,1688680.867,0.00010091314608568131,7.01715031992796e-05,5.12,,
123,9.30145044235971e-05,2.3740720489088e-07,6.14067148907392e-05,0.0,5.61540114865e-09,5.11009103175e-09,8.99965564722e-08,8.469654463213593e-06,8.427234819495342e-09,2.305060815009412e-08,2.770578772904348e-08,2.8858920487794907e-08,2.982398349277342e-08,2.8494789316273262e-08,2.663002902139795e-08,2.6219059424716448e-08,2.4401973425967916e-08,2.1198574320871542e-08,1.974637776998176e-08,1.730454265007642e-08,1.5087193999257976e-08,1.3238518861761567e-08,1.0845047750577243e-08,9.83666272892873e-09,7.790302015252086e-09,5.193235526157301e-09,3.519491321265404e-09,2.527053380828231e-09,1.2518330842263828e-09,9.181324800845416e-10,5.8507287427133405e-09,1.2090064574490728e-08,1.1322983736307531e-08,8.361648685641617e-09,6.056547752247042e-09,4.667138003090172e-09,3.094662069408638e-09,495.15,1688680.867,0.00010048871617481405,6.98763693539528e-05,5.12,,
124,9.20307930580955e-05,2.0827160852351e-07,6.07034753146096e-05,0.0,5.59801800087e-09,5.09427213205e-09,4.485898066864e-08,8.391990754604776e-06,8.555880059639921e-09,2.3402485258595647e-08,2.8128728087552547e-08,2.9299463896871048e-08,3.0279258989502194e-08,2.8929774111758128e-08,2.7036547476370817e-08,2.6619304258081565e-08,2.4774479686755035e-08,2.1522179363645766e-08,2.0047814429172535e-08,1.756870368183755e-08,1.5317506282790453e-08,1.3440610351391118e-08,1.1010601909460404e-08,9.986823471579074e-09,7.90922421156166e-09,5.272512423704327e-09,3.573217818261017e-09,2.5656299004100458e-09,1.2709428362613777e-09,9.321481537799953e-10,5.940042547330003e-09,1.2274624432363769e-08,1.1495833786544729e-08,8.489292726208814e-09,6.149003469540273e-09,4.7383838034096855e-09,3.141903371403025e-09,495.15,1688680.867,9.93657046436544e-05,6.909546606921438e-05,5.12,,
129,7.69203765197805e-05,8.2979191164522e-07,2.50276757266674e-05,5.490342809406e-08,1.947132728689e-08,6.378901672741e-08,2.1844328687544e-07,7.783129930262617e-06,9.564421222110628e-09,2.6161099161886032e-08,3.144445714481993e-08,3.2753195736534364e-08,3.384848609964817e-08,3.2339928042073444e-08,3.0223533599474684e-08,2.9757107017525215e-08,2.7694820127331343e-08,2.40591485173751e-08,2.2410989921168107e-08,1.9639649126475952e-08,1.7123087413534824e-08,1.5024948688723807e-08,1.2308498230103394e-08,1.1164039898551753e-08,8.84153954615806e-09,5.89402017882447e-09,3.99441788500689e-09,2.8680585628261076e-09,1.420757718726059e-09,1.0420269477854088e-09,6.6402367265436125e-09,1.3721519889945546e-08,1.2850927767506847e-08,9.48998477599955e-09,6.873829327777882e-09,5.296930098590489e-09,3.5122614007906875e-09,506.15,2198892.885,0.00010231558373802302,3.292061251311814e-05,5.12,,
130,7.82455740512527e-05,8.1787595242896e-07,2.48940098137497e-05,3.29926966676e-08,1.950125936858e-08,6.743635766768e-08,2.422197027922e-07,7.928744478843901e-06,9.323219521775438e-09,2.5501351807190172e-08,3.0651470684550474e-08,3.192720466821962e-08,3.299487329742933e-08,3.152435902317316e-08,2.946133717116615e-08,2.900667323350379e-08,2.6996394414989547e-08,2.3452409500319646e-08,2.1845815223227767e-08,1.9144363875723772e-08,1.669126642790269e-08,1.4646039909299573e-08,1.1998094638215324e-08,1.0882497989887639e-08,8.61856793892854e-09,5.74538100286933e-09,3.89368409638143e-09,2.795730025013978e-09,1.384928140588194e-09,1.0157484448039745e-09,6.4727789837407445e-09,1.3375481812807446e-08,1.252684484012158e-08,9.250660261638499e-09,6.700480697142389e-09,5.163348722711402e-09,3.4236869432026074e-09,506.15,2198892.885,0.00010221652461760238,3.28887396859288e-05,5.12,,
131,7.69617669203926e-05,9.4563756538791e-07,2.45203591745237e-05,6.615622791091e-08,3.128279624635e-08,8.184483270304e-08,2.1151173225604e-07,7.940431669949337e-06,9.303860395958419e-09,2.5448399725885387e-08,3.058782467942608e-08,3.186090967530283e-08,3.2926361352388284e-08,3.145890051592628e-08,2.940016240941115e-08,2.8946442555104662e-08,2.6940337964225415e-08,2.3403711929146028e-08,2.1800453652099464e-08,1.9104611711989852e-08,1.6656607979062307e-08,1.4615628254971048e-08,1.1973181289009808e-08,1.0859901112564562e-08,8.600671981346232e-09,5.733451051692971e-09,3.8855990866766255e-09,2.7899248534015058e-09,1.3820524174478606e-09,1.0136393019380929e-09,6.4593386327504765e-09,1.3347708398841101e-08,1.2500833571719741e-08,9.231451800926265e-09,6.68656753672098e-09,5.152627327883505e-09,3.416577855388389e-09,506.15,2198892.885,0.00010129770181750158,3.259310330029486e-05,5.12,,
136,0.000121928520221508,1.7970816745625e-07,6.00694017477311e-05,0.0,6.64163084806e-09,0.0,2.661091745106e-08,6.674410088732331e-06,1.0992139317203596e-08,2.2630366173520922e-08,2.6109998764339797e-08,2.6557569350426163e-08,2.6559090891295556e-08,2.5993474966227978e-08,2.5243192196500693e-08,2.3602982661223893e-08,2.229444417395171e-08,1.9331046565018414e-08,1.6974914089541713e-08,1.5816042061337362e-08,1.3451885851829677e-08,1.170363972082124e-08,9.554471761645798e-09,8.163443238920691e-09,6.0419043342157955e-09,3.664034100963232e-09,2.6972181855559477e-09,1.6320869859318982e-09,1.4125962764200074e-09,8.897740893783503e-10,6.606212843213078e-09,1.2051004410668423e-08,1.1865833008294712e-08,9.149332065445302e-09,6.3650307483282425e-09,5.323611464420788e-09,4.516420646792069e-09,484.15,2612578.305,0.00013255544752995935,6.674381183646343e-05,5.12,,
137,0.000122538433228421,1.810860664928e-07,6.03709291812092e-05,0.0,0.0,0.0,0.0,6.633353599907854e-06,1.1089116576027292e-08,2.2830020746152637e-08,2.634035211367306e-08,2.6791871355004443e-08,2.679340631954492e-08,2.622280029379019e-08,2.5465898215095727e-08,2.3811218064041826e-08,2.2491135101950043e-08,1.9501593157630708e-08,1.712467389422278e-08,1.595557781141181e-08,1.3570564025229281e-08,1.1806894134328266e-08,9.638765314903686e-09,8.235464555702435e-09,6.095208545843665e-09,3.6963597450525353e-09,2.721014174538298e-09,1.6464859411752866e-09,1.4250587926562577e-09,8.976240492151236e-10,6.664495620955717e-09,1.2157323421017013e-08,1.1970518358943716e-08,9.23005130654753e-09,6.421185716573173e-09,5.370578595382632e-09,4.556266402143364e-09,484.15,2591894.034,0.0001330727515569111,6.700428278111706e-05,5.12,,
