,Fout_hydrogen,Fout_methane,Fout_carbon monoxide,Fout_carbon dioxide,Fout_ethylene,Fout_ethane,Fout_propane,Fout_water,Fout_nonane,Fout_decane,Fout_undecane,Fout_dodecane,Fout_tridecane,Fout_tetradecane,Fout_pentadecane,Fout_hexadecane,Fout_heptadecane,Fout_octadecane,Fout_nonadecane,Fout_eicosane,Fout_heneicosane,Fout_docosane,Fout_tricosane,Fout_tetracosane,Fout_pentacosane,Fout_hexacosane,Fout_heptacosane,Fout_octacosane,Fout_nonacosane,Fout_triacontane,Fout_1-nonene,Fout_1-decene,Fout_1-undecene,Fout_1-dodecene,Fout_1-tridecene,Fout_1-tetradecene,Fout_1-pentadecene,Tin,Pin,Fin_hydrogen,Fin_carbon monoxide,W,index,Ta
0,hydrogen,methane,carbon monoxide,carbon dioxide,ethylene,ethane,propane,water,nonane,decane,undecane,dodecane,tridecane,tetradecane,pentadecane,hexadecane,heptadecane,octadecane,nonadecane,eicosane,heneicosane,docosane,tricosane,tetracosane,pentacosane,hexacosane,heptacosane,octacosane,nonacosane,triacontane,1-nonene,1-decene,1-undecene,1-dodecene,1-tridecene,1-tetradecene,1-pentadecene,Tin,Pin,hydrogen,carbon monoxide,W,component names,
1,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,mol/s,K,Pa,mol/s,mol/s,g,unit,K
48,7.60928616961729e-05,9.0910975015777e-07,2.39889542365067e-05,7.633616903778e-08,1.933741509879e-08,5.631139011176e-08,1.7820150622203e-07,5.993109027167831e-06,7.661843098518942e-09,1.8403079211575723e-08,2.2606709976117438e-08,2.301991155706903e-08,2.2019906303498107e-08,2.1334951891895084e-08,1.9871870644360974e-08,1.8894898649392545e-08,1.7195492411933147e-08,1.572243547590481e-08,1.453084354069507e-08,1.318855500613239e-08,1.1447616777927946e-08,1.026321288623443e-08,8.534378748014422e-09,6.897585244473895e-09,5.657264933129162e-09,4.210223308347406e-09,2.8390774043659913e-09,2.119062906617813e-09,1.3011412110498656e-09,8.99454369617376e-10,5.4426043329433455e-09,1.013236111221814e-08,9.861430371523394e-09,7.281973680556174e-09,4.875308075769132e-09,3.3299779539158514e-09,2.773267374517388e-09,506.15,2233366.67,9.30460481991884e-05,3.0134735601750092e-05,5.12,,
54,7.04333562421614e-05,2.8190576308928e-07,4.26723493185696e-05,2.350199688089e-08,8.33490893099e-09,7.58487991352e-09,4.174418501247e-08,5.592558191915074e-06,8.44947242219844e-09,2.0294896186506405e-08,2.4930655723916665e-08,2.5386333988032272e-08,2.4283529257701214e-08,2.3528162260898363e-08,2.1914677816814042e-08,2.0837274139578514e-08,1.896317074788927e-08,1.733868512514067e-08,1.6024598806012707e-08,1.454432443735422e-08,1.2624419610432356e-08,1.1318260258051025e-08,9.411703808693705e-09,7.606649673393984e-09,6.238825752877297e-09,4.643029787709315e-09,3.130931542739927e-09,2.3369003202156367e-09,1.4348971440405622e-09,9.919173224229806e-10,6.002098271241289e-09,1.1173957060800732e-08,1.0875174928043593e-08,8.030552831984774e-09,5.3764845620364526e-09,3.6722961468082866e-09,3.058356311798782e-09,495.15,2191998.128,8.440663376917568e-05,4.8311911504246456e-05,5.12,,
55,7.24633135080422e-05,2.6876807842422e-07,4.40406944493512e-05,1.211174637128e-08,8.59078515851e-09,7.81773074303e-09,5.163084487596e-08,5.584106994762754e-06,8.466090564295596e-09,2.033481151515915e-08,2.4979688510662832e-08,2.543626298767379e-08,2.4331289297578345e-08,2.357443667002115e-08,2.1957778878250303e-08,2.087825619919908e-08,1.90004668831217e-08,1.7372786275933285e-08,1.605611545542014e-08,1.4572929732232997e-08,1.2649248900179384e-08,1.1340520636908139e-08,9.430214435565307e-09,7.621610179664607e-09,6.251096068430765e-09,4.652161544689877e-09,3.137089355047477e-09,2.341496458252161e-09,1.4377192521489716e-09,9.938681925115493e-10,6.013902999035954e-09,1.1195933628915925e-08,1.0896563861370463e-08,8.046347056927152e-09,5.3870588535390015e-09,3.6795186970624498e-09,3.064371385549384e-09,495.15,2191998.128,8.67427293675509e-05,4.964902493685651e-05,5.12,,
60,6.98801956679142e-05,2.2598217827889e-07,4.26880406071578e-05,1.177484008939e-08,4.17590983096e-09,7.6002689075e-09,2.509732797643e-08,5.507409318753558e-06,8.61690622454704e-09,2.0697057583926853e-08,2.5424678814865244e-08,2.5889386748597626e-08,2.4764728962830557e-08,2.3994393697936662e-08,2.2348936626213056e-08,2.125018323797427e-08,1.9338942822671512e-08,1.768226657415522e-08,1.6342140467211886e-08,1.483253314689922e-08,1.2874583700235843e-08,1.1542541639927347e-08,9.59820508078832e-09,7.757382194232098e-09,6.362453627589364e-09,4.735035547705832e-09,3.1929737327016193e-09,2.383208076105271e-09,1.4633309056769304e-09,1.011573045361657e-09,6.121035180601887e-09,1.1395378946628139e-08,1.1090676180479746e-08,8.189685370495467e-09,5.4830243799693795e-09,3.745065957334545e-09,3.1189603590853315e-09,495.15,2233366.67,8.424430567417184e-05,4.821899960609014e-05,5.12,,
61,6.99027587332525e-05,2.2529895976423e-07,4.271446011223e-05,1.173924087171e-08,1.248985404269e-08,7.5772907927e-09,3.336193398975e-08,5.524501282507071e-06,8.583297177537967e-09,2.0616331582835404e-08,2.5325513383188016e-08,2.5788408788109792e-08,2.466813757397365e-08,2.3900806894885363e-08,2.2261767700139163e-08,2.1167299847023358e-08,1.9263513959748366e-08,1.761329934705174e-08,1.6278400216026747e-08,1.4774680909587214e-08,1.2824368173046882e-08,1.1497521557954607e-08,9.56076861375982e-09,7.727125601431936e-09,6.337637760096974e-09,4.716567198606346e-09,3.1805199817282826e-09,2.3739127037088477e-09,1.4576233865375642e-09,1.0076275450685448e-09,6.0971609322616874e-09,1.1350932852319674e-08,1.1047418537028747e-08,8.157742639144577e-09,5.461638604223865e-09,3.73045884724977e-09,3.106795287005364e-09,495.15,2233366.67,8.432020097368509e-05,4.826243987648049e-05,5.12,,
62,7.04639963625778e-05,2.4760300568671e-07,4.30188101948663e-05,2.359112594863e-08,8.36651827323e-09,7.61364484269e-09,2.514149749682e-08,5.515444307548003e-06,8.601106500185094e-09,2.065910802332959e-08,2.537806081685088e-08,2.5841916674783613e-08,2.471932103087507e-08,2.3950398231724035e-08,2.2307958225233026e-08,2.12112194812556e-08,1.930348346427914e-08,1.7649844852172193e-08,1.631217596392756e-08,1.4805336618446486e-08,1.2850977214516053e-08,1.152137755021872e-08,9.580606073593154e-09,7.743158469702058e-09,6.350787606054255e-09,4.726353515599616e-09,3.1871191831037708e-09,2.378838290741661e-09,1.460647782017751e-09,1.00971825260052e-09,6.109811817350261e-09,1.1374484690422384e-08,1.1070340618959997e-08,8.174668986645739e-09,5.472970855930024e-09,3.738199106483292e-09,3.1132415183917885e-09,495.15,2233366.67,8.487752631648861e-05,4.8581436754311565e-05,5.12,,
66,5.70189664399562e-05,7.5534122232217e-07,4.02911855907071e-05,1.6653618231123e-07,1.476538270678e-08,3.695091967976e-08,1.8487570548006e-07,5.6575856463354035e-06,8.321604682481049e-09,1.9987769022406793e-08,2.455337458282262e-08,2.500215696672709e-08,2.3916041224911646e-08,2.3172105364363475e-08,2.1583038138139077e-08,2.0521939049650342e-08,1.867619688014373e-08,1.707629495853114e-08,1.578209499905079e-08,1.4324221950643337e-08,1.2433371469179309e-08,1.1146978515900122e-08,9.269274408043137e-09,7.4915365572184e-09,6.144412219386704e-09,4.572765788405032e-09,3.08355046146339e-09,2.3015354894948713e-09,1.4131825273914357e-09,9.769064176389687e-10,5.911267187221299e-09,1.1004859090931031e-08,1.0710598494439662e-08,7.909024695315641e-09,5.295121028998944e-09,3.6167224749383588e-09,3.0120735275846195e-09,516.15,2185103.371,7.669054884600867e-05,4.6281843601664964e-05,5.12,,
67,5.78686563795299e-05,8.7923393546739e-07,4.03185239833176e-05,1.2656152331117e-07,1.870193513613e-08,4.765323932522e-08,1.8733187054056e-07,5.813269024110473e-06,8.015474267179978e-09,1.9252470451368813e-08,2.365011913572041e-08,2.4082391970949287e-08,2.3036231631462314e-08,2.231966325622937e-08,2.07890537227778e-08,1.976698973833799e-08,1.7989147672050562e-08,1.6448102023764124e-08,1.5201512349342426e-08,1.3797270697617968e-08,1.197597973805498e-08,1.0736909870172621e-08,8.928281662972263e-09,7.215942211534984e-09,5.918375110406779e-09,4.404545505984502e-09,2.9701145774737465e-09,2.216867923308688e-09,1.3611951799370049e-09,9.409685452269696e-10,5.693806883827013e-09,1.0600018653012985e-08,1.0316583146398849e-08,7.618072035704137e-09,5.100327156719784e-09,3.4836725650318605e-09,2.90126709600081e-09,516.15,2185103.371,7.686134331591738e-05,4.638491605405041e-05,5.12,,
68,5.92748255968613e-05,9.1969918277058e-07,4.15877315584461e-05,1.5863531049596e-07,1.500253642757e-08,4.095753348123e-08,1.9535888392216e-07,5.771907543111338e-06,8.096806054405372e-09,1.9447822314292928e-08,2.3890093264921675e-08,2.4326752306267146e-08,2.326997673837339e-08,2.2546137453811288e-08,2.0999997060331935e-08,1.9967562349501854e-08,1.817168079261963e-08,1.6614998390649848e-08,1.5355759762120397e-08,1.393726948586991e-08,1.2097498166460313e-08,1.0845855646793067e-08,9.018875566750926e-09,7.289161269698809e-09,5.978427954337749e-09,4.449237753252278e-09,3.0002518742572e-09,2.239362141895803e-09,1.3750070185203029e-09,9.505164086415586e-10,5.751581068428172e-09,1.07075754154621e-08,1.0421263932262215e-08,7.695371443477496e-09,5.152079393613456e-09,3.5190208558974735e-09,2.9307058079560287e-09,516.15,2191998.128,7.900221964736905e-05,4.7676909722549355e-05,5.12,,
69,5.83314321248204e-05,9.0676647213565e-07,4.11912465556639e-05,1.7725854426741e-07,2.58852516645e-08,4.038159306641e-08,2.1483620319717e-07,5.772475692329657e-06,8.095688865411641e-09,1.9445138923719466e-08,2.38867969343593e-08,2.432339572593817e-08,2.3266765970853236e-08,2.2543026560893108e-08,2.0997099502279226e-08,1.9964807245731476e-08,1.8169173482744267e-08,1.6612705870215475e-08,1.5353640990140266e-08,1.3935346435723019e-08,1.209582896607285e-08,1.0844359146756538e-08,9.017631151551737e-09,7.288155518703996e-09,5.977603056981247e-09,4.4486238519910865e-09,2.9998379025812303e-09,2.239053157004589e-09,1.3748172964623617e-09,9.503852573625285e-10,5.750787471172289e-09,1.0706097995190042e-08,1.0419826016954914e-08,7.694309644019593e-09,5.151368514983699e-09,3.518535305009568e-09,2.930301432174948e-09,516.15,2191998.128,7.840789092970818e-05,4.7318239336528376e-05,5.12,,
